event_index,relation,operation,latency_micros,answer_delta_count,live_tuple_count,aggregate_group_count,used_memory_bytes,correctness_status
132,customer,INSERT,1664,0,132,0,19085648,
133,customer,INSERT,1919,0,133,0,19085648,
134,customer,INSERT,81,0,134,0,19085648,
135,customer,INSERT,49,0,135,0,19085648,
136,customer,INSERT,49,0,136,0,19085648,
137,customer,INSERT,47,0,137,0,19085648,
138,customer,INSERT,47,0,138,0,19085648,
139,customer,INSERT,46,0,139,0,19085648,
140,customer,INSERT,46,0,140,0,19085648,
141,customer,INSERT,45,0,141,0,19085648,
142,customer,INSERT,44,0,142,0,19085648,
143,customer,INSERT,45,0,143,0,19085648,
144,customer,INSERT,45,0,144,0,19085648,
145,customer,INSERT,1634,0,145,0,19085648,
146,customer,INSERT,449,0,146,0,19085648,
147,customer,INSERT,1333,0,147,0,19085648,
148,customer,INSERT,66,0,148,0,19085648,
149,customer,INSERT,58,0,149,0,19085648,
150,customer,INSERT,58,0,150,0,19085648,
151,customer,INSERT,46,0,151,0,19085648,
152,customer,INSERT,47,0,152,0,19767248,
153,customer,INSERT,59,0,153,0,19767248,
154,customer,INSERT,45,0,154,0,19767248,
155,customer,INSERT,45,0,155,0,19767248,
156,customer,INSERT,44,0,156,0,19767248,
157,customer,INSERT,44,0,157,0,19767248,
158,customer,INSERT,45,0,158,0,19767248,
159,customer,INSERT,47,0,159,0,19767248,
160,customer,INSERT,60,0,160,0,19767248,
161,customer,INSERT,47,0,161,0,19767248,
162,customer,INSERT,46,0,162,0,19767248,
163,customer,INSERT,46,0,163,0,19767248,
164,customer,INSERT,46,0,164,0,19767248,
165,customer,INSERT,47,0,165,0,19767248,
166,customer,INSERT,47,0,166,0,19767248,
167,customer,INSERT,51,0,167,0,19767248,
168,customer,INSERT,49,0,168,0,19767248,
169,customer,INSERT,47,0,169,0,19767248,
170,customer,INSERT,709,0,170,0,19767248,
171,customer,INSERT,74,0,171,0,19767248,
172,customer,INSERT,59,0,172,0,19767248,
173,customer,INSERT,52,0,173,0,19767248,
174,customer,INSERT,53,0,174,0,19767248,
175,customer,INSERT,49,0,175,0,19767248,
176,customer,INSERT,51,0,176,0,19767248,
177,customer,INSERT,61,0,177,0,19767248,
178,customer,INSERT,51,0,178,0,19767248,
179,customer,INSERT,49,0,179,0,19767248,
180,customer,INSERT,51,0,180,0,19767248,
181,customer,INSERT,49,0,181,0,19767248,
182,customer,INSERT,50,0,182,0,19767248,
183,customer,INSERT,49,0,183,0,19767248,
184,customer,INSERT,51,0,184,0,19767248,
185,customer,INSERT,49,0,185,0,19767248,
186,customer,INSERT,52,0,186,0,19767248,
187,customer,INSERT,52,0,187,0,19767248,
188,customer,INSERT,63,0,188,0,19767248,
189,customer,INSERT,52,0,189,0,19767248,
190,customer,INSERT,50,0,190,0,20448904,
191,customer,INSERT,52,0,191,0,20448904,
192,customer,INSERT,53,0,192,0,20448904,
193,customer,INSERT,54,0,193,0,20448904,
194,customer,INSERT,53,0,194,0,20448904,
195,customer,INSERT,1570,0,195,0,20448904,
196,customer,INSERT,587,0,196,0,20448904,
197,customer,INSERT,67,0,197,0,20448904,
198,customer,INSERT,56,0,198,0,20448904,
199,customer,INSERT,57,0,199,0,20448904,
200,customer,INSERT,56,0,200,0,20448904,
201,customer,INSERT,57,0,201,0,20448904,
202,customer,INSERT,70,0,202,0,20448904,
203,customer,INSERT,58,0,203,0,20448904,
204,customer,INSERT,55,0,204,0,20448904,
205,customer,INSERT,58,0,205,0,20448904,
206,customer,INSERT,57,0,206,0,20448904,
207,customer,INSERT,55,0,207,0,20448904,
208,customer,INSERT,410,0,208,0,20448904,
209,customer,INSERT,976,0,209,0,20448904,
210,customer,INSERT,7923,0,210,0,20448904,
211,customer,INSERT,1953,0,211,0,20448904,
212,customer,INSERT,132,0,212,0,20448904,
213,customer,INSERT,52,0,213,0,20448904,
214,customer,INSERT,52,0,214,0,20448904,
215,customer,INSERT,49,0,215,0,20448904,
216,customer,INSERT,54,0,216,0,20448904,
217,customer,INSERT,52,0,217,0,20448904,
218,customer,INSERT,60,0,218,0,20448904,
219,customer,INSERT,53,0,219,0,20448904,
220,customer,INSERT,48,0,220,0,20448904,
221,customer,INSERT,49,0,221,0,20448904,
222,customer,INSERT,537,0,222,0,20448904,
223,customer,INSERT,50,0,223,0,20448904,
224,customer,INSERT,51,0,224,0,21130504,
225,customer,INSERT,49,0,225,0,21130504,
226,customer,INSERT,49,0,226,0,21130504,
227,customer,INSERT,49,0,227,0,21130504,
228,customer,INSERT,50,0,228,0,21130504,
229,customer,INSERT,53,0,229,0,21130504,
230,customer,INSERT,60,0,230,0,21130504,
231,customer,INSERT,51,0,231,0,21130504,
232,customer,INSERT,51,0,232,0,21130504,
233,customer,INSERT,50,0,233,0,21130504,
234,customer,INSERT,54,0,234,0,21130504,
235,customer,INSERT,50,0,235,0,21130504,
236,customer,INSERT,49,0,236,0,21130504,
237,customer,INSERT,52,0,237,0,21130504,
238,customer,INSERT,61,0,238,0,21130504,
239,customer,INSERT,52,0,239,0,21130504,
240,customer,INSERT,50,0,240,0,21130504,
241,customer,INSERT,53,0,241,0,21130504,
242,customer,INSERT,62,0,242,0,21130504,
243,customer,INSERT,54,0,243,0,21130504,
244,customer,INSERT,56,0,244,0,21130504,
245,customer,INSERT,51,0,245,0,21130504,
246,customer,INSERT,52,0,246,0,21130504,
247,customer,INSERT,64,0,247,0,21130504,
248,customer,INSERT,54,0,248,0,21130504,
249,customer,INSERT,55,0,249,0,21130504,
250,customer,INSERT,60,0,250,0,21130504,
251,customer,INSERT,52,0,251,0,21130504,
252,customer,INSERT,52,0,252,0,21130504,
253,customer,INSERT,54,0,253,0,21130504,
254,customer,INSERT,568,0,254,0,21812104,
255,customer,INSERT,531,0,255,0,21812104,
256,customer,INSERT,1671,0,256,0,21812104,
257,customer,INSERT,819,0,257,0,21812104,
258,customer,INSERT,5167,0,258,0,21812104,
259,customer,INSERT,1452,0,259,0,21812104,
260,customer,INSERT,58,0,260,0,21812104,
261,customer,INSERT,55,0,261,0,21812104,
262,customer,INSERT,48,0,262,0,21812104,
263,customer,INSERT,48,0,263,0,21812104,
264,customer,INSERT,50,0,264,0,21812104,
265,customer,INSERT,50,0,265,0,21812104,
266,customer,INSERT,49,0,266,0,21812104,
267,customer,INSERT,50,0,267,0,21812104,
268,customer,INSERT,50,0,268,0,21812104,
269,customer,INSERT,54,0,269,0,21812104,
270,customer,INSERT,50,0,270,0,21812104,
271,customer,INSERT,50,0,271,0,21812104,
272,customer,INSERT,54,0,272,0,21812104,
